"","Loan_Term","Income","Age","Status_marital","Type_residence","Red_flag","Type_employment","school","default","Time_to_default","delta"
"3686",36,3100,4,3,3,1,2,4,0,32,0
"3687",60,3100.5,7,4,5,1,2,6,0,56,0
"3688",36,3103.28,4,3,5,1,2,6,1,2,1
"3689",37,3107,5,3,5,1,2,4,0,33,0
"3690",48,3108.27,7,3,5,1,2,1,0,44,0
"3691",60,3109.08,4,2,4,1,2,2,1,8,1
"3692",60,3109.08,4,2,4,1,2,2,1,0,1
"3693",60,3110,6,3,5,2,2,4,0,56,0
"3694",36,3110.99,5,3,4,1,2,6,0,32,0
"3695",60,3112,6,2,4,2,2,6,0,56,0
"3696",20,3112.59,5,3,5,1,2,4,0,16,0
"3697",60,3114.12,6,3,5,1,2,6,0,56,0
"3698",48,3114.9,4,3,4,1,2,5,0,44,0
"3699",60,3115.44,7,3,2,1,2,6,0,56,0
"3700",60,3118.44,5,2,3,1,2,4,0,56,0
"3701",34,3119.53,5,3,3,1,2,4,0,30,0
"3702",36,3120,6,3,5,1,1,4,0,32,0
"3703",48,3123.29,7,3,5,1,2,6,0,44,0
"3704",60,3124.31,6,3,5,1,2,4,0,56,0
"3705",60,3128.56,6,3,5,1,2,1,0,56,0
"3706",48,3129.16,4,2,3,1,1,4,0,44,0
"3707",60,3129.73,6,2,5,1,2,4,0,56,0
"3708",37,3130.11,5,2,4,1,2,5,0,33,0
"3709",60,3132.86,7,3,5,1,2,4,0,56,0
"3710",60,3140.35,3,2,3,1,2,3,0,56,0
"3711",12,3141.41,4,3,4,1,2,7,0,8,0
"3712",60,3141.68,5,4,2,1,2,5,0,56,0
"3713",60,3141.68,5,4,2,1,2,5,0,56,0
